Review_ID,Text,Rating,Sentiment
REV1056,"jelek, benar-benar jelek. Tidak akan beli lagi.",2,Negatif
REV1057,"Barang oke, pengiriman standar.",3,Netral
REV1058,"hancur, benar-benar kurang segar. Tidak akan beli lagi.",2,Negatif
REV1059,"mantap, standar. Sangat merekomendasikan.",4,Positif
REV1060,"renyah, packing aman. Sangat merekomendasikan.",5,Positif
REV1061,"pengiriman lambat, benar-benar jelek. Tidak akan beli lagi.",2,Negatif
REV1062,"harga mahal, benar-benar rasa hambar. Tidak akan beli lagi.",1,Negatif
REV1063,"sangat manis, segar sekali. Sangat merekomendasikan.",4,Positif
REV1064,"pengiriman cepat, renyah. Sangat merekomendasikan.",5,Positif
REV1065,"Barang sesuai deskripsi, pengiriman standar.",3,Netral
REV1066,"hancur, benar-benar rasa hambar. Tidak akan beli lagi.",1,Negatif
REV1067,"kurang segar, benar-benar kurang segar. Tidak akan beli lagi.",1,Negatif
REV1068,"mantap, oke. Sangat merekomendasikan.",4,Positif
REV1069,"buahnya besar, buahnya besar. Sangat merekomendasikan.",5,Positif
REV1070,"buahnya besar, sangat manis. Sangat merekomendasikan.",4,Positif
REV1071,"kualitas super, cukup. Sangat merekomendasikan.",4,Positif
REV1072,"murah dan bagus, lumayan. Sangat merekomendasikan.",4,Positif
REV1073,"kualitas super, mantap. Sangat merekomendasikan.",5,Positif
REV1074,"seller ramah, renyah. Sangat merekomendasikan.",4,Positif
REV1075,"packing aman, sangat manis. Sangat merekomendasikan.",4,Positif
REV1076,"murah dan bagus, sesuai deskripsi. Sangat merekomendasikan.",4,Positif
REV1077,"pengiriman cepat, sesuai deskripsi. Sangat merekomendasikan.",4,Positif
REV1078,"rasa hambar, benar-benar ukuran kecil. Tidak akan beli lagi.",2,Negatif
REV1079,"Barang not bad, pengiriman standar.",3,Netral
REV1080,"Barang bisa dimakan, pengiriman standar.",3,Netral
REV1081,"kecewa, benar-benar pengiriman lambat. Tidak akan beli lagi.",2,Negatif
REV1082,"renyah, renyah. Sangat merekomendasikan.",5,Positif
REV1083,"buahnya besar, sesuai deskripsi. Sangat merekomendasikan.",5,Positif
REV1084,"Barang lumayan, pengiriman standar.",3,Netral
REV1085,"mantap, lumayan. Sangat merekomendasikan.",4,Positif
REV1086,"Barang cukup, pengiriman standar.",3,Netral
REV1087,"sangat manis, segar sekali. Sangat merekomendasikan.",4,Positif
REV1088,"renyah, mantap. Sangat merekomendasikan.",4,Positif
REV1089,"segar sekali, kualitas super. Sangat merekomendasikan.",5,Positif
REV1090,"segar sekali, not bad. Sangat merekomendasikan.",4,Positif
REV1091,"kualitas super, pengiriman cepat. Sangat merekomendasikan.",5,Positif
REV1092,"packing aman, pengiriman cepat. Sangat merekomendasikan.",5,Positif
REV1093,"buahnya besar, murah dan bagus. Sangat merekomendasikan.",4,Positif
REV1094,"pengiriman cepat, sampai tujuan. Sangat merekomendasikan.",5,Positif
REV1095,"Barang not bad, pengiriman standar.",3,Netral
REV1096,"pengiriman cepat, buahnya besar. Sangat merekomendasikan.",5,Positif
REV1097,"buahnya besar, bisa dimakan. Sangat merekomendasikan.",5,Positif
REV1098,"seller ramah, seller ramah. Sangat merekomendasikan.",4,Positif
REV1099,"buahnya besar, seller ramah. Sangat merekomendasikan.",5,Positif
REV1100,"murah dan bagus, standar. Sangat merekomendasikan.",5,Positif
REV1101,"banyak yang bonyok, benar-benar harga mahal. Tidak akan beli lagi.",1,Negatif
REV1102,"buahnya besar, oke. Sangat merekomendasikan.",4,Positif
REV1103,"kualitas super, packing aman. Sangat merekomendasikan.",5,Positif
REV1104,"segar sekali, pengiriman cepat. Sangat merekomendasikan.",5,Positif
REV1105,"renyah, sangat manis. Sangat merekomendasikan.",5,Positif
REV1106,"Barang bisa dimakan, pengiriman standar.",3,Netral
REV1107,"buahnya besar, packing aman. Sangat merekomendasikan.",5,Positif
REV1108,"mantap, packing aman. Sangat merekomendasikan.",5,Positif
REV1109,"Barang lumayan, pengiriman standar.",3,Netral
REV1110,"kualitas super, kualitas super. Sangat merekomendasikan.",5,Positif
REV1111,"segar sekali, pengiriman cepat. Sangat merekomendasikan.",5,Positif
REV1112,"sangat manis, lumayan. Sangat merekomendasikan.",4,Positif
REV1113,"Barang sesuai harga, pengiriman standar.",3,Netral
REV1114,"buahnya besar, packing aman. Sangat merekomendasikan.",5,Positif
REV1115,"ukuran kecil, benar-benar harga mahal. Tidak akan beli lagi.",1,Negatif
REV1116,"Barang biasa saja, pengiriman standar.",3,Netral
REV1117,"jelek, benar-benar pengiriman lambat. Tidak akan beli lagi.",1,Negatif
REV1118,"mantap, not bad. Sangat merekomendasikan.",5,Positif
REV1119,"harga mahal, benar-benar kecewa. Tidak akan beli lagi.",1,Negatif
REV1120,"packing aman, biasa saja. Sangat merekomendasikan.",4,Positif
REV1121,"segar sekali, segar sekali. Sangat merekomendasikan.",5,Positif
REV1122,"kualitas super, biasa saja. Sangat merekomendasikan.",4,Positif
REV1123,"renyah, biasa saja. Sangat merekomendasikan.",4,Positif
REV1124,"seller ramah, oke. Sangat merekomendasikan.",4,Positif
REV1125,"sangat manis, segar sekali. Sangat merekomendasikan.",4,Positif
REV1126,"Barang lumayan, pengiriman standar.",3,Netral
REV1127,"seller ramah, lumayan. Sangat merekomendasikan.",5,Positif
REV1128,"rasa hambar, benar-benar kecewa. Tidak akan beli lagi.",2,Negatif
REV1129,"Barang biasa saja, pengiriman standar.",3,Netral
REV1130,"Barang biasa saja, pengiriman standar.",3,Netral
REV1131,"buahnya besar, oke. Sangat merekomendasikan.",5,Positif
REV1132,"pengiriman cepat, biasa saja. Sangat merekomendasikan.",5,Positif
REV1133,"pengiriman cepat, buahnya besar. Sangat merekomendasikan.",5,Positif
REV1134,"packing aman, packing aman. Sangat merekomendasikan.",4,Positif
REV1135,"kualitas super, oke. Sangat merekomendasikan.",5,Positif
REV1136,"buahnya besar, segar sekali. Sangat merekomendasikan.",5,Positif
REV1137,"apel busuk, benar-benar jelek. Tidak akan beli lagi.",1,Negatif
REV1138,"sangat manis, pengiriman cepat. Sangat merekomendasikan.",4,Positif
REV1139,"kecewa, benar-benar pengiriman lambat. Tidak akan beli lagi.",1,Negatif
REV1140,"Barang sesuai deskripsi, pengiriman standar.",3,Netral
REV1141,"packing aman, sampai tujuan. Sangat merekomendasikan.",4,Positif
REV1142,"kecewa, benar-benar kurang segar. Tidak akan beli lagi.",1,Negatif
REV1143,"Barang lumayan, pengiriman standar.",3,Netral
REV1144,"pengiriman lambat, benar-benar kurang segar. Tidak akan beli lagi.",2,Negatif
REV1145,"apel busuk, benar-benar kurang segar. Tidak akan beli lagi.",1,Negatif
REV1146,"murah dan bagus, oke. Sangat merekomendasikan.",4,Positif
REV1147,"ukuran kecil, benar-benar kurang segar. Tidak akan beli lagi.",1,Negatif
REV1148,"buahnya besar, sampai tujuan. Sangat merekomendasikan.",5,Positif
REV1149,"pengiriman cepat, seller ramah. Sangat merekomendasikan.",5,Positif
REV1150,"murah dan bagus, seller ramah. Sangat merekomendasikan.",4,Positif
REV1151,"sangat manis, not bad. Sangat merekomendasikan.",4,Positif
REV1152,"buahnya besar, kualitas super. Sangat merekomendasikan.",5,Positif
REV1153,"renyah, kualitas super. Sangat merekomendasikan.",5,Positif
REV1154,"sangat manis, not bad. Sangat merekomendasikan.",5,Positif
REV1155,"Barang cukup, pengiriman standar.",3,Netral
REV1156,"jelek, benar-benar jelek. Tidak akan beli lagi.",1,Negatif
REV1157,"pengiriman cepat, kualitas super. Sangat merekomendasikan.",4,Positif
REV1158,"buahnya besar, pengiriman cepat. Sangat merekomendasikan.",4,Positif
REV1159,"pengiriman cepat, pengiriman cepat. Sangat merekomendasikan.",5,Positif
REV1160,"Barang bisa dimakan, pengiriman standar.",3,Netral
REV1161,"kualitas super, packing aman. Sangat merekomendasikan.",5,Positif
REV1162,"Barang sesuai deskripsi, pengiriman standar.",3,Netral
REV1163,"kualitas super, not bad. Sangat merekomendasikan.",4,Positif
REV1164,"segar sekali, not bad. Sangat merekomendasikan.",5,Positif
REV1165,"hancur, benar-benar apel busuk. Tidak akan beli lagi.",1,Negatif
REV1166,"mantap, pengiriman cepat. Sangat merekomendasikan.",4,Positif
REV1167,"seller ramah, not bad. Sangat merekomendasikan.",5,Positif
REV1168,"mantap, sesuai deskripsi. Sangat merekomendasikan.",4,Positif
REV1169,"renyah, buahnya besar. Sangat merekomendasikan.",5,Positif
REV1170,"Barang biasa saja, pengiriman standar.",3,Netral
REV1171,"Barang sampai tujuan, pengiriman standar.",3,Netral
REV1172,"Barang biasa saja, pengiriman standar.",3,Netral
REV1173,"murah dan bagus, standar. Sangat merekomendasikan.",4,Positif
REV1174,"Barang standar, pengiriman standar.",3,Netral
REV1175,"murah dan bagus, oke. Sangat merekomendasikan.",5,Positif
REV1176,"Barang sampai tujuan, pengiriman standar.",3,Netral
REV1177,"Barang sesuai harga, pengiriman standar.",3,Netral
REV1178,"Barang lumayan, pengiriman standar.",3,Netral
REV1179,"packing aman, bisa dimakan. Sangat merekomendasikan.",4,Positif
REV1180,"mantap, segar sekali. Sangat merekomendasikan.",4,Positif
REV1181,"kualitas super, cukup. Sangat merekomendasikan.",5,Positif
REV1182,"segar sekali, sesuai deskripsi. Sangat merekomendasikan.",5,Positif
REV1183,"Barang oke, pengiriman standar.",3,Netral
REV1184,"pengiriman lambat, benar-benar banyak yang bonyok. Tidak akan beli lagi.",2,Negatif
REV1185,"kualitas super, packing aman. Sangat merekomendasikan.",5,Positif
REV1186,"banyak yang bonyok, benar-benar ukuran kecil. Tidak akan beli lagi.",2,Negatif
REV1187,"pengiriman cepat, oke. Sangat merekomendasikan.",4,Positif
REV1188,"buahnya besar, mantap. Sangat merekomendasikan.",5,Positif
REV1189,"mantap, sesuai deskripsi. Sangat merekomendasikan.",5,Positif
REV1190,"apel busuk, benar-benar jelek. Tidak akan beli lagi.",1,Negatif
REV1191,"ukuran kecil, benar-benar rasa hambar. Tidak akan beli lagi.",1,Negatif
REV1192,"pengiriman cepat, buahnya besar. Sangat merekomendasikan.",4,Positif
REV1193,"kualitas super, segar sekali. Sangat merekomendasikan.",5,Positif
REV1194,"Barang not bad, pengiriman standar.",3,Netral
REV1195,"Barang standar, pengiriman standar.",3,Netral
REV1196,"murah dan bagus, mantap. Sangat merekomendasikan.",4,Positif
REV1197,"hancur, benar-benar kecewa. Tidak akan beli lagi.",2,Negatif
REV1198,"banyak yang bonyok, benar-benar kecewa. Tidak akan beli lagi.",2,Negatif
REV1199,"murah dan bagus, sesuai deskripsi. Sangat merekomendasikan.",5,Positif
REV1200,"Barang cukup, pengiriman standar.",3,Netral
REV1201,"murah dan bagus, kualitas super. Sangat merekomendasikan.",5,Positif
REV1202,"kualitas super, biasa saja. Sangat merekomendasikan.",5,Positif
REV1203,"murah dan bagus, kualitas super. Sangat merekomendasikan.",5,Positif
REV1204,"sangat manis, lumayan. Sangat merekomendasikan.",5,Positif
REV1205,"pengiriman cepat, buahnya besar. Sangat merekomendasikan.",4,Positif
REV1206,"Barang standar, pengiriman standar.",3,Netral
REV1207,"Barang cukup, pengiriman standar.",3,Netral
REV1208,"buahnya besar, biasa saja. Sangat merekomendasikan.",5,Positif
REV1209,"Barang not bad, pengiriman standar.",3,Netral
REV1210,"sangat manis, segar sekali. Sangat merekomendasikan.",5,Positif
REV1211,"kualitas super, murah dan bagus. Sangat merekomendasikan.",5,Positif
REV1212,"jelek, benar-benar apel busuk. Tidak akan beli lagi.",2,Negatif
REV1213,"Barang sampai tujuan, pengiriman standar.",3,Netral
REV1214,"mantap, cukup. Sangat merekomendasikan.",5,Positif
REV1215,"pengiriman cepat, biasa saja. Sangat merekomendasikan.",5,Positif
REV1216,"pengiriman cepat, kualitas super. Sangat merekomendasikan.",4,Positif
REV1217,"ukuran kecil, benar-benar banyak yang bonyok. Tidak akan beli lagi.",2,Negatif
REV1218,"sangat manis, sesuai harga. Sangat merekomendasikan.",5,Positif
REV1219,"segar sekali, packing aman. Sangat merekomendasikan.",5,Positif
REV1220,"kualitas super, sesuai harga. Sangat merekomendasikan.",5,Positif
REV1221,"buahnya besar, biasa saja. Sangat merekomendasikan.",5,Positif
REV1222,"hancur, benar-benar pengiriman lambat. Tidak akan beli lagi.",2,Negatif
REV1223,"segar sekali, renyah. Sangat merekomendasikan.",4,Positif
REV1224,"pengiriman cepat, biasa saja. Sangat merekomendasikan.",4,Positif
REV1225,"apel busuk, benar-benar pengiriman lambat. Tidak akan beli lagi.",1,Negatif
REV1226,"renyah, biasa saja. Sangat merekomendasikan.",5,Positif
REV1227,"segar sekali, buahnya besar. Sangat merekomendasikan.",5,Positif
REV1228,"pengiriman cepat, segar sekali. Sangat merekomendasikan.",5,Positif
REV1229,"kurang segar, benar-benar apel busuk. Tidak akan beli lagi.",2,Negatif
REV1230,"Barang cukup, pengiriman standar.",3,Netral
REV1231,"kecewa, benar-benar kecewa. Tidak akan beli lagi.",1,Negatif
REV1232,"harga mahal, benar-benar banyak yang bonyok. Tidak akan beli lagi.",1,Negatif
REV1233,"murah dan bagus, packing aman. Sangat merekomendasikan.",4,Positif
REV1234,"segar sekali, sangat manis. Sangat merekomendasikan.",5,Positif
REV1235,"segar sekali, standar. Sangat merekomendasikan.",4,Positif
REV1236,"banyak yang bonyok, benar-benar ukuran kecil. Tidak akan beli lagi.",1,Negatif
REV1237,"kualitas super, buahnya besar. Sangat merekomendasikan.",5,Positif
REV1238,"renyah, sesuai deskripsi. Sangat merekomendasikan.",4,Positif
REV1239,"seller ramah, cukup. Sangat merekomendasikan.",5,Positif
REV1240,"banyak yang bonyok, benar-benar apel busuk. Tidak akan beli lagi.",2,Negatif
REV1241,"kualitas super, buahnya besar. Sangat merekomendasikan.",5,Positif
REV1242,"pengiriman cepat, not bad. Sangat merekomendasikan.",4,Positif
REV1243,"murah dan bagus, kualitas super. Sangat merekomendasikan.",5,Positif
REV1244,"kualitas super, bisa dimakan. Sangat merekomendasikan.",4,Positif
REV1245,"seller ramah, sesuai harga. Sangat merekomendasikan.",5,Positif
REV1246,"banyak yang bonyok, benar-benar kurang segar. Tidak akan beli lagi.",2,Negatif
REV1247,"mantap, sesuai deskripsi. Sangat merekomendasikan.",5,Positif
REV1248,"rasa hambar, benar-benar kurang segar. Tidak akan beli lagi.",2,Negatif
REV1249,"mantap, seller ramah. Sangat merekomendasikan.",5,Positif
REV1250,"ukuran kecil, benar-benar apel busuk. Tidak akan beli lagi.",2,Negatif
REV1251,"kurang segar, benar-benar apel busuk. Tidak akan beli lagi.",2,Negatif
REV1252,"jelek, benar-benar jelek. Tidak akan beli lagi.",1,Negatif
REV1253,"Barang biasa saja, pengiriman standar.",3,Netral
REV1254,"banyak yang bonyok, benar-benar kurang segar. Tidak akan beli lagi.",2,Negatif
REV1255,"kualitas super, lumayan. Sangat merekomendasikan.",5,Positif
REV1256,"mantap, lumayan. Sangat merekomendasikan.",4,Positif
REV1257,"kualitas super, mantap. Sangat merekomendasikan.",4,Positif
REV1258,"Barang not bad, pengiriman standar.",3,Netral
REV1259,"ukuran kecil, benar-benar kurang segar. Tidak akan beli lagi.",1,Negatif
REV1260,"Barang sampai tujuan, pengiriman standar.",3,Netral
REV1261,"Barang sesuai deskripsi, pengiriman standar.",3,Netral
REV1262,"murah dan bagus, cukup. Sangat merekomendasikan.",4,Positif
REV1263,"pengiriman cepat, seller ramah. Sangat merekomendasikan.",5,Positif
REV1264,"seller ramah, standar. Sangat merekomendasikan.",4,Positif
REV1265,"pengiriman lambat, benar-benar hancur. Tidak akan beli lagi.",1,Negatif
REV1266,"mantap, mantap. Sangat merekomendasikan.",5,Positif
REV1267,"seller ramah, cukup. Sangat merekomendasikan.",5,Positif
REV1268,"sangat manis, mantap. Sangat merekomendasikan.",5,Positif
REV1269,"murah dan bagus, seller ramah. Sangat merekomendasikan.",4,Positif
REV1270,"seller ramah, not bad. Sangat merekomendasikan.",4,Positif
REV1271,"mantap, lumayan. Sangat merekomendasikan.",4,Positif
REV1272,"Barang cukup, pengiriman standar.",3,Netral
REV1273,"harga mahal, benar-benar harga mahal. Tidak akan beli lagi.",1,Negatif
REV1274,"Barang biasa saja, pengiriman standar.",3,Netral
REV1275,"buahnya besar, sampai tujuan. Sangat merekomendasikan.",4,Positif
REV1276,"pengiriman lambat, benar-benar rasa hambar. Tidak akan beli lagi.",2,Negatif
REV1277,"murah dan bagus, sesuai deskripsi. Sangat merekomendasikan.",4,Positif
REV1278,"mantap, lumayan. Sangat merekomendasikan.",5,Positif
REV1279,"kualitas super, packing aman. Sangat merekomendasikan.",5,Positif
REV1280,"murah dan bagus, packing aman. Sangat merekomendasikan.",5,Positif
REV1281,"segar sekali, murah dan bagus. Sangat merekomendasikan.",5,Positif
REV1282,"sangat manis, kualitas super. Sangat merekomendasikan.",4,Positif
REV1283,"kecewa, benar-benar harga mahal. Tidak akan beli lagi.",1,Negatif
REV1284,"mantap, pengiriman cepat. Sangat merekomendasikan.",4,Positif
REV1285,"packing aman, biasa saja. Sangat merekomendasikan.",5,Positif
REV1286,"Barang bisa dimakan, pengiriman standar.",3,Netral
REV1287,"segar sekali, standar. Sangat merekomendasikan.",4,Positif
REV1288,"packing aman, standar. Sangat merekomendasikan.",5,Positif
REV1289,"segar sekali, murah dan bagus. Sangat merekomendasikan.",4,Positif
REV1290,"Barang lumayan, pengiriman standar.",3,Netral
REV1291,"kualitas super, biasa saja. Sangat merekomendasikan.",5,Positif
REV1292,"Barang biasa saja, pengiriman standar.",3,Netral
REV1293,"Barang standar, pengiriman standar.",3,Netral
REV1294,"buahnya besar, oke. Sangat merekomendasikan.",4,Positif
REV1295,"sangat manis, cukup. Sangat merekomendasikan.",4,Positif
REV1296,"segar sekali, segar sekali. Sangat merekomendasikan.",4,Positif
REV1297,"packing aman, murah dan bagus. Sangat merekomendasikan.",4,Positif
REV1298,"harga mahal, benar-benar jelek. Tidak akan beli lagi.",1,Negatif
REV1299,"jelek, benar-benar hancur. Tidak akan beli lagi.",1,Negatif
REV1300,"renyah, oke. Sangat merekomendasikan.",5,Positif
REV1301,"Barang bisa dimakan, pengiriman standar.",3,Netral
REV1302,"Barang not bad, pengiriman standar.",3,Netral
REV1303,"seller ramah, cukup. Sangat merekomendasikan.",4,Positif
REV1304,"Barang cukup, pengiriman standar.",3,Netral
REV1305,"pengiriman cepat, sampai tujuan. Sangat merekomendasikan.",5,Positif
REV1306,"Barang cukup, pengiriman standar.",3,Netral
REV1307,"ukuran kecil, benar-benar kecewa. Tidak akan beli lagi.",2,Negatif
REV1308,"ukuran kecil, benar-benar jelek. Tidak akan beli lagi.",1,Negatif
REV1309,"Barang cukup, pengiriman standar.",3,Netral
REV1310,"segar sekali, buahnya besar. Sangat merekomendasikan.",5,Positif
REV1311,"packing aman, pengiriman cepat. Sangat merekomendasikan.",5,Positif
REV1312,"Barang oke, pengiriman standar.",3,Netral
REV1313,"segar sekali, buahnya besar. Sangat merekomendasikan.",4,Positif
REV1314,"renyah, lumayan. Sangat merekomendasikan.",4,Positif
REV1315,"buahnya besar, pengiriman cepat. Sangat merekomendasikan.",4,Positif
REV1316,"pengiriman cepat, murah dan bagus. Sangat merekomendasikan.",5,Positif
REV1317,"segar sekali, standar. Sangat merekomendasikan.",4,Positif
REV1318,"Barang standar, pengiriman standar.",3,Netral
REV1319,"kecewa, benar-benar rasa hambar. Tidak akan beli lagi.",2,Negatif
REV1320,"kurang segar, benar-benar kurang segar. Tidak akan beli lagi.",1,Negatif
REV1321,"banyak yang bonyok, benar-benar jelek. Tidak akan beli lagi.",2,Negatif
REV1322,"harga mahal, benar-benar kurang segar. Tidak akan beli lagi.",2,Negatif
REV1323,"Barang lumayan, pengiriman standar.",3,Netral
REV1324,"segar sekali, biasa saja. Sangat merekomendasikan.",4,Positif
REV1325,"seller ramah, not bad. Sangat merekomendasikan.",5,Positif
REV1326,"sangat manis, not bad. Sangat merekomendasikan.",5,Positif
REV1327,"kurang segar, benar-benar harga mahal. Tidak akan beli lagi.",2,Negatif
REV1328,"sangat manis, sesuai harga. Sangat merekomendasikan.",4,Positif
REV1329,"ukuran kecil, benar-benar kurang segar. Tidak akan beli lagi.",1,Negatif
REV1330,"seller ramah, cukup. Sangat merekomendasikan.",5,Positif
REV1331,"buahnya besar, bisa dimakan. Sangat merekomendasikan.",5,Positif
REV1332,"segar sekali, sampai tujuan. Sangat merekomendasikan.",5,Positif
REV1333,"segar sekali, buahnya besar. Sangat merekomendasikan.",4,Positif
REV1334,"Barang sesuai deskripsi, pengiriman standar.",3,Netral
REV1335,"packing aman, sangat manis. Sangat merekomendasikan.",5,Positif
REV1336,"seller ramah, lumayan. Sangat merekomendasikan.",4,Positif
REV1337,"Barang sesuai deskripsi, pengiriman standar.",3,Netral
REV1338,"pengiriman cepat, oke. Sangat merekomendasikan.",4,Positif
REV1339,"Barang standar, pengiriman standar.",3,Netral
REV1340,"mantap, cukup. Sangat merekomendasikan.",4,Positif
REV1341,"Barang lumayan, pengiriman standar.",3,Netral
REV1342,"seller ramah, not bad. Sangat merekomendasikan.",4,Positif
REV1343,"mantap, sangat manis. Sangat merekomendasikan.",4,Positif
REV1344,"kualitas super, biasa saja. Sangat merekomendasikan.",4,Positif
REV1345,"pengiriman lambat, benar-benar harga mahal. Tidak akan beli lagi.",1,Negatif
REV1346,"Barang standar, pengiriman standar.",3,Netral
REV1347,"sangat manis, buahnya besar. Sangat merekomendasikan.",5,Positif
REV1348,"Barang sesuai deskripsi, pengiriman standar.",3,Netral
REV1349,"renyah, seller ramah. Sangat merekomendasikan.",5,Positif
REV1350,"packing aman, lumayan. Sangat merekomendasikan.",5,Positif
REV1351,"renyah, standar. Sangat merekomendasikan.",5,Positif
REV1352,"murah dan bagus, biasa saja. Sangat merekomendasikan.",5,Positif
REV1353,"murah dan bagus, pengiriman cepat. Sangat merekomendasikan.",5,Positif
REV1354,"packing aman, sangat manis. Sangat merekomendasikan.",5,Positif
REV1355,"buahnya besar, kualitas super. Sangat merekomendasikan.",5,Positif
REV1356,"Barang sampai tujuan, pengiriman standar.",3,Netral
REV1357,"kecewa, benar-benar rasa hambar. Tidak akan beli lagi.",1,Negatif
REV1358,"sangat manis, sangat manis. Sangat merekomendasikan.",4,Positif
REV1359,"Barang biasa saja, pengiriman standar.",3,Netral
REV1360,"kecewa, benar-benar apel busuk. Tidak akan beli lagi.",1,Negatif
REV1361,"mantap, murah dan bagus. Sangat merekomendasikan.",4,Positif
REV1362,"Barang biasa saja, pengiriman standar.",3,Netral
REV1363,"Barang standar, pengiriman standar.",3,Netral
REV1364,"harga mahal, benar-benar rasa hambar. Tidak akan beli lagi.",1,Negatif
REV1365,"Barang bisa dimakan, pengiriman standar.",3,Netral
REV1366,"segar sekali, oke. Sangat merekomendasikan.",5,Positif
REV1367,"Barang oke, pengiriman standar.",3,Netral
REV1368,"renyah, renyah. Sangat merekomendasikan.",4,Positif
REV1369,"mantap, bisa dimakan. Sangat merekomendasikan.",5,Positif
REV1370,"Barang sesuai harga, pengiriman standar.",3,Netral
REV1371,"Barang standar, pengiriman standar.",3,Netral
REV1372,"murah dan bagus, segar sekali. Sangat merekomendasikan.",4,Positif
REV1373,"hancur, benar-benar apel busuk. Tidak akan beli lagi.",1,Negatif
REV1374,"Barang oke, pengiriman standar.",3,Netral
REV1375,"Barang bisa dimakan, pengiriman standar.",3,Netral
REV1376,"Barang sesuai deskripsi, pengiriman standar.",3,Netral
REV1377,"seller ramah, seller ramah. Sangat merekomendasikan.",4,Positif
REV1378,"kualitas super, not bad. Sangat merekomendasikan.",4,Positif
